circHIPK3	BCRC-2	circR-284	hsa_circRNA_100782	hsa_circ_000016	hsa_circ_0000284
cAFF1	hsa_circ_0001423				
cDENND4C	circDENND4C	hsa_circRNA_005684	hsa_circ_0005684		
CDR1as	Cdr1as	ciRS-7	hsa_circRNA_105055	hsa_circ_0001946	
circ-104916	hsa_circRNA_104916	hsa_circ_0008383			
circ-ABCB10	hsa_circ_0008717				
circ-Amotl1	hsa_circRNA_100937	hsa_circ_0004214			
circANRIL	hsa_circ_0008574				
circATXN10					
circ-BANP	hsa_circRNA_101902	hsa_circ_0003098			
circBC048201	hsa_circRNA_103108	hsa_circ_0061265			
circ-BNC2					
circCCDC66					
circCCNB1					
circCDK13					
circCHD7					
circCOL3A1-859267					
circDNAJ6C					
circFAM169A	hsa_circRNA_103890	hsa_circ_0007158			
circ-FBXW7	novel_circ_022705				
circ-Foxo3					
circFUT8	hsa_circRNA_101368	hsa_circ_0003028			
circGFRA1	hsa_circRNA_005239				
circHIAT1	hsa_circRNA_000096	hsa_circ_0000096	hsa_circ_001013		
circHIPK2					
circIPO11	hsa_circRNA_103847	hsa_circ_0007915			
circLARP4	hsa_circRNA_101057	hsa_circ_0003222			
circMTO1	hsa_circRNA_104135	hsa_circ_0007874			
circPABPN1	hsa_circRNA_101325	hsa_circ_0031288			
circPTK2	hsa_circRNA_104700	hsa_circ_0005273			
circPVT1					
circ-QKI					
circRNA-CER	hsa_circRNA_100876	hsa_circ_0023404			
circRNA-MYLK	hsa_circRNA_103450	hsa_circ_0002768			
circRNAs-MSR	hsa_circRNA_100226	hsa_circ_0005567			
circSLC8A1					
circ-SMARCA5	hsa_circ_0001445				
circTCF25	hsa_circRNA_101922	hsa_circ_0041103			
circTRIM24	hsa_circRNA_104503	hsa_circ_0082582			
circ-TTBK2	hsa_circ_0000594				
circUBAP2					
circWDR77	hsa_circ_0013509				
circZFR	hsa_circRNA_103809	hsa_circ_0072088			
circZKSCAN1	hsa_circRNA_104435	hsa_circ_000017	hsa_circ_0001727		
cir-GLI2	hsa_circ_0056288				
cir-ITCH	circ-ITCH	hsa_circRNA_001141	hsa_circ_0001141	hsa_circ_001763	
cTHSD1					
cZNF292	hsa_circ_0004383				
cZNF609	cir-ZNF609	circ-ZNF609	hsa_circ_0000615		
GSDMB circRNA					
hsa_circ_0000140	hsa_circ_002059				
hsa_circ_0000181	hsa_circ_002099				
hsa_circ_0000893	hsa_circ_000261				
hsa_circ_0001189	hsa_circ_001502				
hsa_circ_0001451	hsa_circ_001988				
hsa_circ_0002260					
hsa_circ_0003159					
hsa_circ_0003204					
hsa_circ_0003573					
hsa_circ_0003707					
