circID	name
hsa_circ_0000001	hsa_circ_000529
hsa_circ_0000002	hsa_circ_000531
hsa_circ_0000003	hsa_circ_002058
hsa_circ_0000004	hsa_circ_002098
hsa_circ_0000005	hsa_circ_002136
hsa_circ_0000006	hsa_circ_001621
hsa_circ_0000007	hsa_circ_001873
hsa_circ_0000008	hsa_circ_001557
hsa_circ_0000009	hsa_circ_000031
hsa_circ_0000010	hsa_circ_000032
hsa_circ_0000011	hsa_circ_001076
hsa_circ_0000012	hsa_circ_000641
hsa_circ_0000013	hsa_circ_000035
hsa_circ_0000014	hsa_circ_001693
hsa_circ_0000015	hsa_circ_001949
hsa_circ_0000016	hsa_circ_000037
hsa_circ_0000017	hsa_circ_001352
hsa_circ_0000018	hsa_circ_000541
hsa_circ_0000019	hsa_circ_001462
hsa_circ_0000020	hsa_circ_000796
hsa_circ_0000021	hsa_circ_001027
hsa_circ_0000022	hsa_circ_000806
hsa_circ_0000023	hsa_circ_000809
hsa_circ_0000024	hsa_circ_001228
hsa_circ_0000025	hsa_circ_000558
hsa_circ_0000026	hsa_circ_000559
hsa_circ_0000027	hsa_circ_000560
hsa_circ_0000028	hsa_circ_000561
hsa_circ_0000029	hsa_circ_001786
hsa_circ_0000030	hsa_circ_000040
hsa_circ_0000031	hsa_circ_001367
hsa_circ_0000032	hsa_circ_000567
hsa_circ_0000033	hsa_circ_001236
hsa_circ_0000034	hsa_circ_001787
hsa_circ_0000035	hsa_circ_000041
hsa_circ_0000036	hsa_circ_000042
hsa_circ_0000037	hsa_circ_001049
hsa_circ_0000038	hsa_circ_000570
hsa_circ_0000039	hsa_circ_000025*
hsa_circ_0000040	hsa_circ_000571
hsa_circ_0000041	hsa_circ_001237
hsa_circ_0000042	hsa_circ_000827
hsa_circ_0000043	hsa_circ_001967
hsa_circ_0000044	hsa_circ_000829
hsa_circ_0000045	hsa_circ_000015
hsa_circ_0000046	hsa_circ_001242
hsa_circ_0000047	hsa_circ_001243
hsa_circ_0000048	hsa_circ_000044
hsa_circ_0000049	hsa_circ_000833
hsa_circ_0000050	hsa_circ_000836
hsa_circ_0000051	hsa_circ_000837
hsa_circ_0000052	hsa_circ_000045
hsa_circ_0000053	hsa_circ_002106
hsa_circ_0000054	hsa_circ_001377
hsa_circ_0000055	hsa_circ_001562
hsa_circ_0000056	hsa_circ_001055
hsa_circ_0000057	hsa_circ_001727
