circRNA	Position	Function	Gene	Gene Description	PMID
chr10:126631025-126631876	chr10:126631025-126631876	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	ZRANB1	zinc finger RANBP2-type containing 1	27986464
chr10:128768966-128926028	chr10:128768966-128926028	Cardiac development [differential expression (during cardiac development)]	DOCK1	dedicator of cytokinesis 1	28676412
chr10:135347259-135347401	chr10:135347259-135347401	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:70530952-70532856	chr10:70530952-70532856	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:86198268-86237420	chr10:86198268-86237420	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]	CCSER2	coiled-coil serine rich protein 2	27531932
chr10:96701614-96709041	chr10:96701614-96709041	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96701614-96732002	chr10:96701614-96732002	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96707535-96709041	chr10:96707535-96709041	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96731860-96732002	chr10:96731860-96732002	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96731860-96741127	chr10:96731860-96741127	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96802646-96802834	chr10:96802646-96802834	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96818091-96818268	chr10:96818091-96818268	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:96818091-96827448	chr10:96818091-96827448	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr10:98618048-98667504	chr10:98618048-98667504	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr11:1016819-1017998	chr11:1016819-1017998	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr11:1017266-1017938	chr11:1017266-1017938	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr11:116706955-116707088	chr11:116706955-116707088	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr11:120276827-120278532	chr11:120276827-120278532	Cardiac development [differential expression (during cardiac development)]	ARHGEF12	Rho guanine nucleotide exchange factor 12	28676412
chr11:32948703-32956981	chr11:32948703-32956981	Cardiac development [differential expression (during cardiac development)]	QSER1	glutamine and serine rich 1	28676412
chr11:33307959-33309057	chr11:33307959-33309057	Cardiac development [differential expression (during cardiac development)]	HIPK3	homeodomain interacting protein kinase 3	28676412
chr11:60971660-60990496	chr11:60971660-60990496	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr11:60971660-61009322	chr11:60971660-61009322	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr11:76174865-76183884	chr11:76174865-76183884	IMP3-associated circRNA	EMSY	EMSY, BRCA2 interacting transcriptional repressor	27510448
chr11:85707868-85714494	chr11:85707868-85714494	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	PICALM	phosphatidylinositol binding clathrin assembly protein	27986464
chr11:85707869-85714494	chr11:85707869-85714494	Cardiac development [differential expression (during cardiac development)]	PICALM	phosphatidylinositol binding clathrin assembly protein	28676412
chr11:85707869-85742653	chr11:85707869-85742653	Cardiac development [differential expression (during cardiac development)]	PICALM	phosphatidylinositol binding clathrin assembly protein	28676412
chr11:9225207-9229179	chr11:9225207-9229179	Cardiac development [differential expression (during cardiac development)]	DENND5A	DENN domain containing 5A	28676412
