id	title	journal	pub_time	pmid	circRNA id	circRNA name	circRNA synonyms	disease	method of circRNA detection	species	expression pattern	associator	host gene	tissue/cell line	functional describution
1	Novel Role of FBXW7 Circular RNA in Repressing Glioma Tumorigenesis	J Natl Cancer Inst.	2018 Mar 1	28903484	-	circ-FBXW7		glioma	qRT-PCR, RNA-seq	human	down-regulated	-	FBXW7	tissue and cell line, PDX	Upregulation of FBXW7-185aa in cancer cells inhibited proliferation and cell cycle acceleration, while knockdown of FBXW7-185aa promoted malignant phenotypes in vitro and in vivo.
2	Overexpression of Circular RNA ciRS-7 Abrogates the Tumor Suppressive Effect of miR-7 on Gastric Cancer via PTEN/PI3K/AKT Signaling Pathway	J Cell Biochem.	2018 Jan	28608528	hsa_circ_0001946	ciRS-7		gastric cancer	qRT-PCR	human	up-regulated	miR-7	CDR1	tissue and cell line, PDX	Overexpression of ciRS-7 blocked the miR-7-induced tumor suppression in MGC-803 and HGC-27 cells and led to a more aggressive oncogenic phenotype, via antagonizing miR-7-mediated PTEN/PI3K/AKT pathway.
3	Altered expression profiles of circular RNA in colorectal cancer tissues from patients with lung metastasis	Int J Mol Med.	2017 Dec	29039473	-	hsa_circRNA_105055		colorectal cancer	microarray	human	up-regulated	miR-7, PRKCB, EPHA3,  BRCA1, ABCC1	-	tissue	It was demonstrated that hsa_circRNA_105055, hsa_circRNA_086376 and hsa_circRNA_102761 could commonly bind with miR-7 regulating target genes PRKCB, EPHA3, BRCA1 and ABCC1. The findings of the present study may provide a novel perspective on circRNA and lay a foundation for future research of potential roles of circRNA in (colorectal cancer) CRC with lung metastasis.
4	Altered expression profiles of circular RNA in colorectal cancer tissues from patients with lung metastasis	Int J Mol Med.	2017 Dec	29039473	-	hsa_circRNA_086376		colorectal cancer	microarray	human	down-regulated	miR-7, PRKCB, EPHA3,  BRCA1, ABCC1	-	tissue	It was demonstrated that hsa_circRNA_105055, hsa_circRNA_086376 and hsa_circRNA_102761 could commonly bind with miR-7 regulating target genes PRKCB, EPHA3, BRCA1 and ABCC1. The findings of the present study may provide a novel perspective on circRNA and lay a foundation for future research of potential roles of circRNA in (colorectal cancer) CRC with lung metastasis.
5	Altered expression profiles of circular RNA in colorectal cancer tissues from patients with lung metastasis	Int J Mol Med.	2017 Dec	29039473	-	hsa_circRNA_102761		colorectal cancer	microarray	human	down-regulated	miR-7, PRKCB, EPHA3,  BRCA1, ABCC1	-	tissue	It was demonstrated that hsa_circRNA_105055, hsa_circRNA_086376 and hsa_circRNA_102761 could commonly bind with miR-7 regulating target genes PRKCB, EPHA3, BRCA1 and ABCC1. The findings of the present study may provide a novel perspective on circRNA and lay a foundation for future research of potential roles of circRNA in (colorectal cancer) CRC with lung metastasis.
6	CircRNA hsa_circ_0005105 upregulates NAMPT expression and promotes chondrocyte extracellular matrix degradation by sponging miR-26a	Cell Biol Int.	2017 Dec	28276108	hsa_circ_0005105	-		osteoarthritis	qRT-PCR	human	up-regulated	miR-26a, NAMPT	SEC24A	cell line	Hsa_circ_0005105 can promote extracellular matrix (ECM) degradation by regulating the expression of miR-26a target NAMPT.
7	Circular RNA expression profiles of peripheral blood mononuclear cells in rheumatoid arthritis patients, based on microarray chip technology	Mol Med Rep.	2017 Dec	28983619	hsa_circ_0004712	hsa_circRNA_104194		rheumatoid arthritis	qRT-PCR, microarray	human	up-regulated	miR-455-3p, let-7g-5p, miR-876-3p, miR-661, miR-323a-5p	PDE7B	tissue	RT-qPCR validation demonstrated that the expression levels of hsa_circRNA_104194, hsa_circRNA_104593, hsa_circRNA_103334, hsa_circRNA_101407 and hsa_circRNA_102594 were consistent with the results from the microarray analysis. The current study presented differentially expressed circRNAs and their corresponding microRNA binding sites in RA. circRNAs may exhibit a role in the regulation of expression of symbol genes that influence the occurrence and development of RA.
8	Circular RNA expression profiles of peripheral blood mononuclear cells in rheumatoid arthritis patients, based on microarray chip technology	Mol Med Rep.	2017 Dec	28983619	hsa_circ_0083964	hsa_circRNA_104593		rheumatoid arthritis	qRT-PCR, microarray	human	up-regulated	-	ASH2L	tissue	RT-qPCR validation demonstrated that the expression levels of hsa_circRNA_104194, hsa_circRNA_104593, hsa_circRNA_103334, hsa_circRNA_101407 and hsa_circRNA_102594 were consistent with the results from the microarray analysis. The current study presented differentially expressed circRNAs and their corresponding microRNA binding sites in RA. circRNAs may exhibit a role in the regulation of expression of symbol genes that influence the occurrence and development of RA.
9	Circular RNA expression profiles of peripheral blood mononuclear cells in rheumatoid arthritis patients, based on microarray chip technology	Mol Med Rep.	2017 Dec	28983619	hsa_circ_0064996	hsa_circRNA_103334		rheumatoid arthritis	qRT-PCR, microarray	human	up-regulated	-	SNRK	tissue	RT-qPCR validation demonstrated that the expression levels of hsa_circRNA_104194, hsa_circRNA_104593, hsa_circRNA_103334, hsa_circRNA_101407 and hsa_circRNA_102594 were consistent with the results from the microarray analysis. The current study presented differentially expressed circRNAs and their corresponding microRNA binding sites in RA. circRNAs may exhibit a role in the regulation of expression of symbol genes that influence the occurrence and development of RA.
10	Circular RNA expression profiles of peripheral blood mononuclear cells in rheumatoid arthritis patients, based on microarray chip technology	Mol Med Rep.	2017 Dec	28983619	hsa_circ_0032683	hsa_circRNA_101407		rheumatoid arthritis	qRT-PCR, microarray	human	up-regulated	-	NEK9	tissue	RT-qPCR validation demonstrated that the expression levels of hsa_circRNA_104194, hsa_circRNA_104593, hsa_circRNA_103334, hsa_circRNA_101407 and hsa_circRNA_102594 were consistent with the results from the microarray analysis. The current study presented differentially expressed circRNAs and their corresponding microRNA binding sites in RA. circRNAs may exhibit a role in the regulation of expression of symbol genes that influence the occurrence and development of RA.
11	Circular RNA expression profiles of peripheral blood mononuclear cells in rheumatoid arthritis patients, based on microarray chip technology	Mol Med Rep.	2017 Dec	28983619	hsa_circ_0052012	hsa_circRNA_102594		rheumatoid arthritis	qRT-PCR, microarray	human	down-regulated	-	POLD1	tissue	RT-qPCR validation demonstrated that the expression levels of hsa_circRNA_104194, hsa_circRNA_104593, hsa_circRNA_103334, hsa_circRNA_101407 and hsa_circRNA_102594 were consistent with the results from the microarray analysis. The current study presented differentially expressed circRNAs and their corresponding microRNA binding sites in RA. circRNAs may exhibit a role in the regulation of expression of symbol genes that influence the occurrence and development of RA.
12	Androgen-responsive circular RNA circSMARCA5 is up-regulated and promotes cell proliferation in prostate cancer	Biochem Biophys Res Commun.	2017 Nov 25	28765045	hsa_circ_0001445	circSMARCA5		prostate cancer	qRT-PCR	human	up-regulated	-	SMARCA5	tissue and cell line	Functional experiments showed circ-SMARCA5 acted as an oncogene in prostate cancer by promoting cell cycle and inhibiting cell apoptosis.
13	Cinnamaldehyde induces cell apoptosis mediated by a novel circular RNA hsa_circ_0043256 in non-small cell lung cancer	Biochem Biophys Res Commun.	2017 Nov 25	28958934	hsa_circ_0043256	-		lung cancer	qRT-PCR, microarray	human	up-regulated	miR-1252, ITCH	ACACA	cell line, PDX	Hsa_circ_0043256 could inhibit cell proliferation and induce apoptosis, while hsa_circ_0043256 knock-down could promote cell proliferation and restrain apoptosis induced by Cinnamaldehyde (CA).
14	Circular RNA hsa_circ_0003221 (circPTK2) promotes the proliferation and migration of bladder cancer cells	J Cell Biochem.	2017 Nov 10	29125888	hsa_circ_0003221	circPTK2		bladder cancer	qRT-PCR, RNA-seq	human	up-regulated	-	PTK2	tissue and cell line	In vitro silence of circPTK2 by small interfering RNA inhibited the proliferation and migration of bladder cancer cells. On the contrary, circPTK2 overexpression promoted proliferation and migration.
15	Plasma circular RNA profiling of patients with gastric cancer and their droplet digital RT-PCR detection	J Mol Med (Berl).	2017 Nov 2	29098316	hsa_circ_0001017	-		gastric cancer	qRT-PCR, microarray	human	down-regulated	-	XPO1	tissue and cell line	We found that hsa_circ_0001017 and hsa_circ_0061276 both decreased in gastric cancer tissues and patients' plasma. Moreover, their levels were tightly associated with main clinicopathological features of patients with gastric cancer. As a result, hsa_circ_0001017 and hsa_circ_0061276 may be valuable blood-based biomarkers, either alone or in combination, to screen gastric cancer and estimate prognosis.
16	Plasma circular RNA profiling of patients with gastric cancer and their droplet digital RT-PCR detection	J Mol Med (Berl).	2017 Nov 2	29098316	hsa_circ_0061276	-		gastric cancer	qRT-PCR, microarray	human	down-regulated	-	NRIP1	tissue and cell line	We found that hsa_circ_0001017 and hsa_circ_0061276 both decreased in gastric cancer tissues and patients' plasma. Moreover, their levels were tightly associated with main clinicopathological features of patients with gastric cancer. As a result, hsa_circ_0001017 and hsa_circ_0061276 may be valuable blood-based biomarkers, either alone or in combination, to screen gastric cancer and estimate prognosis.
17	Circular RNA hsa_circ_0001982 Promotes Breast Cancer Cell Carcinogenesis Through  Decreasing miR-143	DNA Cell Biol.	2017 Nov	28933584	hsa_circ_0001982	-		breast cancer	qRT-PCR, RNA-seq	human	up-regulated	miR-143	RNF111	tissue and cell line	Loss-of-function and rescue experiments revealed that hsa_circ_0001982 knockdown suppressed breast cancer cell proliferation and invasion and induced apoptosis by targeting miR-143.
18	The expression profile and clinical significance of circRNA0003906 in colorectal  cancer	Onco Targets Ther.	2017 Oct 25	29123417	-	circRNA0003906		colorectal cancer	qRT-PCR	human	down-regulated	-	-	tissue and cell line	CircRNA0003906 may be potentially involved in the colorectal cancerogenesis and serve as a potential biomarker for the diagnosis and treatment of CRC
19	Hsa_circ_0000520, a potential new circular RNA biomarker, is involved in gastric carcinoma	Cancer Biomark	2017 Oct 18	29103021	hsa_circ_0000520	-		gastric cancer	qRT-PCR	human	down-regulated	miR-556-5p, hsa-miR-521, hsa-miR-1204, hsa-miR-146b-3p, hsa-miR-512-5p, hsa-miR-663b, hsa-miR-1258, hsa-miR-1233, hsa-miR-1296	RPPH1	tissue and cell line	We first identified that hsa_circ_0000520 was significantly down-regulated in gastric cancer. Our study indicated hsa_circ_0000520 might serve as a novel biomarker for gastric cancer and is involved in gastric carcinoma development.
