circRNA Name	Region	Strand	Gene Symbol	CircBase Link	Disease Name	Expression Pattern	Experimental Techniques	Species	Brief description	Year	PMID	
hsa_circ_0000977	chr2:10784445-10808849	-	NOL10	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000977	Pancreatic ductal adenocarcinoma	Upregulated	"qRT-PCR, Western blot, Luciferase reporter assay,Immunohistochemistry, FISH  etc."	Human	Silencing hsa_circ_0000977 suppresses progression of pancreatic cancer by interacting with hsa-miR-874-3p and decreasing inhibiting PLK1 expression.	2018/5/1	29454093	
hsa_circ_0006220	chr17:35800605-35800763	+	TADA2A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0006220	Pancreatic ductal adenocarcinoma	Upregulated	"qRT-PCR, Western blot, Luciferase reporter assay,Immunohistochemistry, FISH  etc."	Human	The expression of five mostly upregulated circRNAs are validated in five matched cancer and adjacent non-cancer tissues.	2018/5/1	29454093	
hsa_circ_0001666	chr6:170626457-170639638	+	FAM120B	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001666	Pancreatic ductal adenocarcinoma	Upregulated	"qRT-PCR, Western blot, Luciferase reporter assay,Immunohistochemistry, FISH  etc."	Human	The expression of five mostly upregulated circRNAs are validated in five matched cancer and adjacent non-cancer tissues.	2018/5/1	29454093	
hsa_circ_0043278	chr17:35797838-35800763	+	TADA2A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0043278	Pancreatic ductal adenocarcinoma	Upregulated	"qRT-PCR, Western blot, Luciferase reporter assay,Immunohistochemistry, FISH  etc."	Human	The expression of five mostly upregulated circRNAs are validated in five matched cancer and adjacent non-cancer tissues.	2018/5/1	29454093	
hsa_circ_0078297	chr6:151336015-151336829	+	MTHFD1L	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0078297	Pancreatic ductal adenocarcinoma	Upregulated	"qRT-PCR, Western blot, Luciferase reporter assay,Immunohistochemistry, FISH  etc."	Human	The expression of five mostly upregulated circRNAs are validated in five matched cancer and adjacent non-cancer tissues.	2018/5/1	29454093	
hsa_circ_0089810	chrX:2637701-2644414	+	CD99	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0089810	Primary great saphenous vein varicosities	Downregulated	qRT-PCR etc.	Human	"To validate the predicted circRNAs, 6 downregulated circRNAs were selected for subsequent qRT-PCR validation in all vein samples: hsa_circ_0089810 (CD99), hsa_circ_0000378 (LRP6), hsa_circ_0006427 (BCAR3), hsa_circ_0003171 (PTK2), circ_SDHA and hsa_circ_0005267 (GPATCH2L). The relative expression levels of the circRNAs were downregulated by 2.5-fold, 2.1-fold, 9.8-fold, 1.6-fold, 2.5-fold and 3.3-fold in the PGSVV group as compared to control group, respectively"	2018/5/1	29577902	
hsa_circ_0000378	chr12:12397195-12397589	-	LRP6	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000378	Primary great saphenous vein varicosities	Downregulated	qRT-PCR etc.	Human	"To validate the predicted circRNAs, 6 downregulated circRNAs were selected for subsequent qRT-PCR validation in all vein samples: hsa_circ_0089810 (CD99), hsa_circ_0000378 (LRP6), hsa_circ_0006427 (BCAR3), hsa_circ_0003171 (PTK2), circ_SDHA and hsa_circ_0005267 (GPATCH2L). The relative expression levels of the circRNAs were downregulated by 2.5-fold, 2.1-fold, 9.8-fold, 1.6-fold, 2.5-fold and 3.3-fold in the PGSVV group as compared to control group, respectively"	2018/5/1	29577902	
hsa_circ_0006427	chr1:94032835-94033408	-	BCAR3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0006427	Primary great saphenous vein varicosities	Downregulated	qRT-PCR etc.	Human	"To validate the predicted circRNAs, 6 downregulated circRNAs were selected for subsequent qRT-PCR validation in all vein samples: hsa_circ_0089810 (CD99), hsa_circ_0000378 (LRP6), hsa_circ_0006427 (BCAR3), hsa_circ_0003171 (PTK2), circ_SDHA and hsa_circ_0005267 (GPATCH2L). The relative expression levels of the circRNAs were downregulated by 2.5-fold, 2.1-fold, 9.8-fold, 1.6-fold, 2.5-fold and 3.3-fold in the PGSVV group as compared to control group, respectively"	2018/5/1	29577902	
hsa_circ_0003171	chr8:141749116-141762415	-	PTK2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0003171	Primary great saphenous vein varicosities	Downregulated	qRT-PCR etc.	Human	"To validate the predicted circRNAs, 6 downregulated circRNAs were selected for subsequent qRT-PCR validation in all vein samples: hsa_circ_0089810 (CD99), hsa_circ_0000378 (LRP6), hsa_circ_0006427 (BCAR3), hsa_circ_0003171 (PTK2), circ_SDHA and hsa_circ_0005267 (GPATCH2L). The relative expression levels of the circRNAs were downregulated by 2.5-fold, 2.1-fold, 9.8-fold, 1.6-fold, 2.5-fold and 3.3-fold in the PGSVV group as compared to control group, respectively"	2018/5/1	29577902	
circ_SDHA	N/A	N/A	SDHA	N/A	Primary great saphenous vein varicosities	Downregulated	qRT-PCR etc.	Human	"To validate the predicted circRNAs, 6 downregulated circRNAs were selected for subsequent qRT-PCR validation in all vein samples: hsa_circ_0089810 (CD99), hsa_circ_0000378 (LRP6), hsa_circ_0006427 (BCAR3), hsa_circ_0003171 (PTK2), circ_SDHA and hsa_circ_0005267 (GPATCH2L). The relative expression levels of the circRNAs were downregulated by 2.5-fold, 2.1-fold, 9.8-fold, 1.6-fold, 2.5-fold and 3.3-fold in the PGSVV group as compared to control group, respectively"	2018/5/1	29577902	
